21998	3	13177
32207	1	33551
11982	5	36405
33960	8	22914
5528	8	4355
17131	6	34038
37719	3	31691
40523	8	14811
37050	3	3515
16928	8	38291
15175	3	26668
19621	1	24673
11052	3	13577
6433	3	16868
15881	1	40159
9586	3	25508
30838	3	4538
3253	3	22264
20113	1	34076
25619	8	21466
4363	1	11837
4629	4	15627
34428	3	27689
29417	1	15159
11243	3	39173
39501	1	9145
27604	1	28729
3614	13	22398
15287	3	5924
5077	3	10408
19129	13	33878
29090	8	3519
10330	3	22010
24814	11	33310
28950	1	33841
13678	1	31276
17815	8	16059
6133	8	27232
38039	8	5962
31602	8	30818
32595	3	31706
10353	3	11284
301	1	9086
3064	1	5971
19684	3	12471
32139	1	24328
2567	8	29076
8288	8	31467
19026	3	10185
32046	3	22122
20791	5	200
22270	7	30469
13849	3	15073
19871	1	19255
36553	3	34867
27731	3	26498
13707	13	20292
27626	8	31826
22580	8	5331
14540	1	11129
12456	3	12174
13938	12	10283
22399	5	18685
605	12	25222
26299	3	9394
9690	3	30786
17946	5	36340
21311	8	13733
19012	3	38090
28219	3	35883
7640	5	6005
3692	7	29925
12178	1	25072
29837	10	38497
7116	8	9476
4469	13	19544
16162	3	19803
21826	1	8332
11266	1	14369
20398	3	18507
31641	17	33192
18050	1	11169
19134	1	19679
34417	3	20420
8935	1	33625
31195	8	25038
27656	1	2885
27582	8	2351
3988	5	33042
9499	8	1506
5205	3	27073
1172	5	2341
23239	3	679
5779	8	25494
15950	3	21470
33656	1	26532
21922	8	39500
37997	3	20204
17863	3	26204
2987	3	2471
10741	14	14316
35444	1	34732
2404	12	36138
16287	8	13288
12368	8	20267
10542	17	25739
19886	8	27704
11316	11	4098
19369	8	25767
3973	1	8270
10268	6	5460
29492	8	9778
31829	1	1375
14590	12	23049
15814	1	31386
25841	3	38326
12562	10	6594
28300	3	38882
35876	5	37304
33339	1	10286
21990	2	1314
28519	3	33766
6899	4	17124
24566	17	26527
36436	1	3609
36107	8	13493
8278	8	10880
38420	8	27557
24076	1	13499
31384	8	32127
4890	7	959
11302	3	32217
3515	1	37050
11513	1	25038
499	8	10905
6637	1	9613
34567	7	24173
37757	8	32235
8761	1	16474
7136	3	25353
26688	8	9162
247	3	11754
30275	8	6680
25397	5	40450
27902	8	18401
23013	3	28833
28960	1	7044
9425	8	29137
19903	10	34486
2991	5	19320
6014	8	29616
17707	3	26168
36198	8	26346
21870	1	30243
29840	8	8721
10163	13	8750
37777	3	6097
22210	1	34997
28642	8	24685
2172	7	21294
7819	3	22882
2622	8	6213
15746	5	24822
10480	1	6845
14742	3	11427
18859	3	40286
6707	1	23027
18079	17	3713
10824	8	19836
37719	3	15269
13021	1	9876
17885	5	19246
21447	5	21948
36236	4	37741
29399	3	11706
37522	8	719
37397	1	13920
35502	1	23964
14560	8	33657
11434	5	12016
3784	8	19127
17107	10	39098
34363	1	11981
24457	8	24547
13380	5	11901
7258	3	27307
40500	5	37940
6315	3	37408
28064	3	32927
26179	1	37079
24333	3	20728
31734	7	14004
39591	7	38764
23273	1	29579
8814	4	23738
34486	11	8397
34745	13	35403
35083	3	19237
4220	1	5345
31943	1	326
18132	7	7431
324	3	8549
35872	1	4221
35013	10	30847
7696	8	4027
21194	1	31276
26746	1	23204
